GUID 1c6156dcdb35448a8d413cab61c41d2c
Type Storage
Rarity Rare
Useable Barricade
Build Storage
ID 59956

Size_X 2
Size_Y 2
Size_Z 0.65

Health 200
Range 4
Radius 0.4
Offset 0.425

Storage_X 5
Storage_Y 3
Display
Locked

Explosion 36

Vulnerable

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 59565
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 59056
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 59009
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 59003
Blueprint_0_Build 27

Should_Close_When_Outside_Range true

PlacementAudioClip Sounds/MetalPlacement.mp3

Salvage_Duration_Multiplier 0.25
