GUID 481c8de0d4c449d28fff41bd56114204
Type Barricade
Rarity Common
Useable Barricade
Build Door
ID 59222

Size_X 1
Size_Y 2
Size_Z 0.725

Health 300
Range 4
Radius 1
Offset 1.25

Locked

Explosion 19

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 59202
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 59010
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 59006
Blueprint_0_Build 27
PlacementAudioClip Sounds/WoodenPlacement.mp3

Salvage_Duration_Multiplier 0.2
