GUID bb045bd8971b4094927e5c0bb5682c3e
Type Barricade
Rarity Uncommon
Useable Barricade
Build Mannequin
ID 59785

Size_X 2
Size_Y 2
Size_Z 0.65

Health 200
Range 4
Radius 0.8
Offset 1

Explosion 37
Vulnerable

Locked

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 59564
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 59028
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Build 27

// References human read/writeable texture.
Ignore_TexRW

PlacementAudioClip Sounds/WoodenPlacement.mp3

Salvage_Duration_Multiplier 0.3

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Barricades/Mannequin_Cloth
