GUID 9b1be9b4d6884bf799b0a089329e8c6f
Type Barricade
Rarity Uncommon
Useable Barricade
Build Barricade
ID 59870

Size_X 2
Size_Y 2
Size_Z 0.6

Health 400
Range 4
Radius 0.6
Offset 1.35

Explosion 36
Vulnerable

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 59009
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 59571
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 59003
Blueprint_0_Build 27

Salvage_Duration_Multiplier 0.4

PlacementAudioClip Sounds/MetalPlacement.mp3
