GUID 8e35500318aa4df18a294fcdb41bb5eb
Type Storage
Rarity Legendary
Useable Barricade
Build Storage
ID 59809

Size_X 2
Size_Y 2
Size_Z 0.57

Health 1600
Range 4
Radius 0.7
Offset 0.75

Storage_X 9
Storage_Y 9

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 59505
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 59808
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 59003
Blueprint_0_Build 27

Should_Close_When_Outside_Range true

PlacementAudioClip Sounds/MetalPlacement.mp3

Salvage_Duration_Multiplier 0.4

Locked
