GUID b0207c5deba3475792b28b63da6d2388
Type Storage
Rarity Uncommon
Useable Barricade
Build Storage
ID 59598

Size_X 3
Size_Y 2
Size_Z 0.375

Health 150
Range 4
Radius 0.18
Offset 0.21

Storage_X 4
Storage_Y 3

Explosion 19
Vulnerable

Should_Close_When_Outside_Range True

PlacementAudioClip Sounds/WoodenPlacement.mp3

Locked

Blueprints 1
Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59598
Blueprint_0_Product 59000
Blueprint_0_Products 5
Blueprint_0_Tool 59004
Blueprint_0_Build 27

Salvage_Duration_Multiplier 0.1
