GUID fd87c87d5b6143688edeb5dc3335d920
Type Barricade
Rarity Uncommon
Useable Barricade
Build Barricade
ID 59865

Size_X 2
Size_Y 2
Size_Z 0.6

Health 400
Range 4
Radius 0.5
Offset 1.29

Explosion 19
Vulnerable

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 59202
Blueprint_0_Supply_0_Amount 12
Blueprint_0_Supply_1_ID 59241
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 59006
Blueprint_0_Build 27

Salvage_Duration_Multiplier 0.4

PlacementAudioClip Sounds/WoodenPlacement.mp3
