GUID 39d7a098efe84c4b95bd926ff6aff8e5
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 59832

Unplace 0.11
Replace 0.65

Equipable_Movement_Speed_Multiplier 0.8

Size_X 5
Size_Y 3
Size_Z 0.55

Sight 59393
Magazine 59834
Grip 59752

Hook_Sight

Ammo_Min 0
Ammo_Max 0

Safety
Semi

Attachment_Calibers 2
Attachment_Caliber_0 58904
Attachment_Caliber_1 58902

Magazine_Calibers 1
Magazine_Caliber_0 59834

Firerate 15
Action Trigger

Player_Damage 120
Player_Leg_Multiplier 0.45
Player_Arm_Multiplier 0.45
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 250
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 1.5

Animal_Damage 200
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 60
Structure_Damage 60
Vehicle_Damage 500
Resource_Damage 444
Object_Damage 333

Durability 0.2

Invulnerable

Spread_Aim 0.001
Spread_Hip 0.3

Range 510
Ballistic_Steps 34
Ballistic_Travel 15
Ballistic_Drop 0.00075


Recoil_Min_X 8
Recoil_Min_Y 24
Recoil_Max_X 17
Recoil_Max_Y 28

Recover_X 0
Recover_Y 0

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 59058

Shell 59005

Gunshot_Rolloff_Distance 1700

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 59832
Blueprint_1_Product 59262
Blueprint_1_Products 4
Blueprint_1_Tool 59004
Blueprint_1_Build 27

BladeID 2

Use_Auto_Icon_Measurements 

Damage_Falloff_Range 0.5
Damage_Falloff_Multiplier 0.7

Recoil_Crouch 0.8
Recoil_Prone 0.8

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 15
