GUID 9c1b5f5d4ac5474d91d95d366e1330e9
Type Gun
Rarity Uncommon
Useable Gun
Slot Any
ID 59258

Can_Aim_During_Sprint True

Size_X 2
Size_Y 1
Size_Z 0.262

Hook_Sight

Magazine 59250
Barrel 59257
Grip 59750

Ammo_Min 8
Ammo_Max 20

Safety
Auto
Semi

Attachment_Calibers 2
Attachment_Caliber_0 58900
Attachment_Caliber_1 58901

Magazine_Calibers 1
Magazine_Caliber_0 59250

Firerate 10
Action Trigger

Player_Damage 15
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.5
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 10
Resource_Damage 25
Object_Damage 25

Durability 0.15

Spread_Aim 0.04
Spread_Hip 0.09

Recoil_Min_X 1
Recoil_Min_Y 2
Recoil_Max_X 1
Recoil_Max_Y 3

Recover_X 0
Recover_Y 0

Shake_Min_X -0.0007
Shake_Min_Y -0.015
Shake_Min_Z -0.02
Shake_Max_X 0.0007
Shake_Max_Y -0.015
Shake_Max_Z -0.02

Range 304
Ballistic_Steps 38
Ballistic_Travel 8
Ballistic_Drop 0.0025

Damage_Falloff_Range 0.05
Damage_Falloff_Multiplier 0.2

Muzzle 59000

Shell 59003

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59162
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 59258
Blueprint_1_Product 59248
Blueprint_1_Products 1
Blueprint_1_Tool 59004
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 59247
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_1_ID 59845
Blueprint_2_Supply_1_Amount 1
Blueprint_2_Supply_0_Critical
Blueprint_2_Build 27

BladeID 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 60
Quality_Max 75
