GUID d54dfb78adb940369a3403deccbf88d8
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 59493

Size_X 5
Size_Y 2
Size_Z 0.425

Sight 59383
Magazine 59492
Grip 59752

Hook_Sight
Hook_Tactical

Ammo_Min 8
Ammo_Max 14

Safety
Semi

Attachment_Calibers 2
Attachment_Caliber_0 58904
Attachment_Caliber_1 58902

Magazine_Calibers 1
Magazine_Caliber_0 59492

Unplace 0.1
Replace 0.666

Firerate 7
Action Trigger

Player_Damage 73
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 200
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.1

Animal_Damage 166
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 75
Structure_Damage 75
Vehicle_Damage 305
Resource_Damage 366
Object_Damage 250

Durability 0.15

Spread_Aim 0.001
Spread_Hip 0.2

Recoil_Min_X 4
Recoil_Min_Y 9
Recoil_Max_X 4
Recoil_Max_Y 12

Recover_X 0
Recover_Y 0

Shake_Min_X -0.0007
Shake_Min_Y -0.007
Shake_Min_Z -0.01
Shake_Max_X 0.0007
Shake_Max_Y -0.007
Shake_Max_Z -0.01

Range 550
Ballistic_Steps 22
Ballistic_Travel 25
Ballistic_Drop 0.0004

Damage_Falloff_Range 0.2
Damage_Falloff_Multiplier 0.9

Muzzle 59036

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 59016
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 59493
Blueprint_1_Product 59262
Blueprint_1_Products 4
Blueprint_1_Tool 59004
Blueprint_1_Build 27

Gunshot_Rolloff_Distance 1500

Fire_Delay_Seconds 0.15

BladeID 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 15
