GUID 83ba86b36b0f4840afbaf081cdb5f7ac
Type Magazine
Rarity Legendary
ID 59834

Size_X 2
Size_Y 2
Size_Z 0.29

Amount 10
Count_Min 0
Count_Max 0

Calibers 1
Caliber_0 59834

Tracer 59040

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 58999
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 58999
Blueprint_0_Tool_Critical
Blueprint_0_Build 27
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 59835
Blueprint_1_Build 30
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 59834
Blueprint_2_Build 30

Use_Auto_Icon_Measurements False

Range 4
Player_Damage 0
Zombie_Damage 8
Animal_Damage 8
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 10
Resource_Damage 25
Object_Damage 25
Explosion 59059
Explosive
