GUID f0c58fc4a8594f3dacf6cfae206ea256
Type Supply
Rarity Rare
ID 59896

Size_X 5
Size_Y 2
Size_Z 0.45

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59896
Blueprint_0_Outputs 3
Blueprint_0_Output_0_ID 59890
Blueprint_0_Output_0_Amount 1
Blueprint_0_Output_1_ID 59260
Blueprint_0_Output_1_Amount 2
Blueprint_0_Output_2_ID 59893
Blueprint_0_Output_2_Amount 1
Blueprint_0_Build 27

Master_Bundle_Override prosur.masterbundle
Bundle_Override_Path /Items/Barricades/PS_Weapon_Case_0
