GUID 688666d7ef0c4f15b5801bda64d79e07
Type Spawn
ID 59006

Tables 25
Table_0_Asset_ID 59561
Table_0_Weight 500
Table_1_Asset_ID 59595
Table_1_Weight 500
Table_2_Asset_ID 59558
Table_2_Weight 500
Table_3_Asset_ID 59559
Table_3_Weight 500
Table_4_Asset_ID 59239
Table_4_Weight 500
Table_5_Asset_ID 59557
Table_5_Weight 500
Table_6_Asset_ID 59044
Table_6_Weight 500
Table_7_Asset_ID 59581
Table_7_Weight 333
Table_8_Asset_ID 59018
Table_8_Weight 333
Table_9_Asset_ID 59026
Table_9_Weight 330
Table_10_Asset_ID 59015
Table_10_Weight 250
Table_11_Asset_ID 59040
Table_11_Weight 250
Table_12_Asset_ID 59554
Table_12_Weight 250
Table_13_Asset_ID 59590
Table_13_Weight 250
Table_14_Asset_ID 59179
Table_14_Weight 250
Table_15_Asset_ID 59021
Table_15_Weight 150
Table_16_Asset_ID 59601
Table_16_Weight 150
Table_17_Asset_ID 59607
Table_17_Weight 150
Table_18_Asset_ID 59132
Table_18_Weight 150
Table_19_Asset_ID 59552
Table_19_Weight 150
Table_20_Asset_ID 59604
Table_20_Weight 150
Table_21_Asset_ID 59585
Table_21_Weight 150
Table_22_Asset_ID 59023
Table_22_Weight 100
Table_23_Asset_ID 59957
Table_23_Weight 50
Table_24_Asset_ID 59579
Table_24_Weight 4
