GUID bcdd1a1541474dc783a7c23b587cf552
Type Spawn
ID 59071

Tables 25
Table_0_Asset_ID 59559
Table_0_Weight 45
Table_1_Asset_ID 59580
Table_1_Weight 45
Table_2_Asset_ID 59574
Table_2_Weight 45
Table_3_Asset_ID 59556
Table_3_Weight 45
Table_4_Asset_ID 59575
Table_4_Weight 45
Table_5_Asset_ID 59007
Table_5_Weight 25
Table_6_Asset_ID 59018
Table_6_Weight 25
Table_7_Asset_ID 59039
Table_7_Weight 25
Table_8_Asset_ID 59401
Table_8_Weight 25
Table_9_Spawn_ID 59066
Table_9_Weight 25
Table_10_Asset_ID 59619
Table_10_Weight 25
Table_11_Asset_ID 59036
Table_11_Weight 15
Table_12_Asset_ID 59560
Table_12_Weight 15
Table_13_Asset_ID 59581
Table_13_Weight 15
Table_14_Asset_ID 59530
Table_14_Weight 15
Table_15_Spawn_ID 59323
Table_15_Weight 15
Table_16_Asset_ID 59543
Table_16_Weight 7
Table_17_Asset_ID 59542
Table_17_Weight 7
Table_18_Asset_ID 59613
Table_18_Weight 5
Table_19_Asset_ID 59130
Table_19_Weight 5
Table_20_Asset_ID 59622
Table_20_Weight 5
Table_21_Asset_ID 59621
Table_21_Weight 5
Table_22_Asset_ID 59027
Table_22_Weight 5
Table_23_Asset_ID 59618
Table_23_Weight 5
Table_24_Asset_ID 59624
Table_24_Weight 5
